Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Utah,166,13,▲,82,50
DoDEA,166,13,▲,84,46
New Hampshire,165,12,▲,81,46
Vermont,163,10,▲,79,44
Minnesota,162,9,▲,76,45
Massachusetts,162,9,▲,75,44
Montana,161,9,▲,78,41
North Dakota,161,9,▲,79,42
South Dakota,160,7,▲,77,40
Idaho,160,7,▲,76,40
Wyoming,160,7,▲,79,38
Nebraska,160,7,▲,75,41
Maine,160,7,▲,77,38
Virginia,160,7,▲,74,40
Missouri,159,6,▲,75,40
Iowa,159,6,▲,75,38
Wisconsin,159,6,▲,75,40
Kentucky,157,4,▲,73,35
Ohio,157,4,▲,72,38
Washington,157,4,▲,70,38
Oregon,156,3,▲,72,36
Tennessee,156,3,▲,71,37
Texas,156,3,▲,70,37
Indiana,156,3,▲,70,36
New Jersey,156,3,▲,71,35
Kansas,155,3,▲,71,34
Michigan,155,2,♦,69,36
Connecticut,155,2,▲,70,35
Maryland,155,2,♦,67,36
National public,153,†,,67,33
Florida,153,#,♦,66,33
Georgia,152,-1,♦,65,31
South Carolina,151,-2,♦,65,31
Oklahoma,151,-2,♦,66,28
Rhode Island,151,-2,▼,64,32
North Carolina,150,-2,▼,64,31
Illinois,150,-3,▼,63,28
West Virginia,150,-3,▼,63,27
New York,150,-3,▼,63,30
Delaware,149,-4,▼,62,29
Nevada,149,-4,▼,62,27
Arkansas,148,-4,▼,62,28
Arizona,148,-5,▼,61,25
Hawaii,144,-9,▼,58,23
New Mexico,143,-10,▼,55,21
California,143,-10,▼,56,24
Alabama,141,-12,▼,54,21
Mississippi,140,-13,▼,51,20
Puerto Rico,—,†,,—,—
Pennsylvania,—,†,,—,—
Louisiana,—,†,,—,—
District of Columbia,—,†,,—,—
Colorado,—,†,,—,—
Alaska,—,†,,—,—
